"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 21 12:42:29 EEST 2023","Fri Jul 21 12:42:32 EEST 2023","3540","Api regression org","First test","api.tests.BoardApiTests","api.tests.BoardApiTests","checkBoardApi","checkBoardApi",""
"passed","Fri Jul 21 12:43:27 EEST 2023","Fri Jul 21 12:43:31 EEST 2023","3761","Default Suite","lecture33_rd","ui.tests.LoginTests","ui.tests.LoginTests","loginByNewUser","loginByNewUser",""
